"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","181","Reset Password","Zella API Services - Users - QA","Fri Jan 16 19:02:38 UTC 2026","passed","Fri Jan 16 19:02:38 UTC 2026","Forget password > Reset Password","Authentication","",""
"","63","Clear cart","Zella API Services - Users - QA","Fri Jan 16 19:02:49 UTC 2026","passed","Fri Jan 16 19:02:50 UTC 2026","Clear Cart","Carts","",""
"","18","Get Social Networks","Zella API Services - Users - QA","Fri Jan 16 19:02:37 UTC 2026","broken","Fri Jan 16 19:02:37 UTC 2026","Login > Get Social Networks","Authentication","",""
"","59","Get User Types","Zella API Services - Users - QA","Fri Jan 16 19:02:49 UTC 2026","passed","Fri Jan 16 19:02:49 UTC 2026","Get User Types","Utilities","",""
"","80","Add to Cart - Success","Zella API Services - Users - QA","Fri Jan 16 19:02:49 UTC 2026","passed","Fri Jan 16 19:02:49 UTC 2026","Add to Cart","Carts","",""
"","53","Get Single comics Series","Zella API Services - Users - QA","Fri Jan 16 19:02:42 UTC 2026","passed","Fri Jan 16 19:02:42 UTC 2026","Chapter/Category","Comics","",""
"","55","Get Shipping Address by ID - No Auth token","Zella API Services - Users - QA","Fri Jan 16 19:02:39 UTC 2026","passed","Fri Jan 16 19:02:39 UTC 2026","Shipping Address > Get Shipping address by ID","Profile","",""
"","52","Stats*","Zella API Services - Users - QA","Fri Jan 16 19:02:43 UTC 2026","passed","Fri Jan 16 19:02:43 UTC 2026","Get Stats*","Dashboard","",""
"","65","Add Shipping Address - Empty required field","Zella API Services - Users - QA","Fri Jan 16 19:02:39 UTC 2026","passed","Fri Jan 16 19:02:39 UTC 2026","Shipping Address > Add Shipping Address","Profile","",""
"","9","Get Banks","Zella API Services - Users - QA","Fri Jan 16 19:02:49 UTC 2026","broken","Fri Jan 16 19:02:49 UTC 2026","Get Banks","Utilities","",""
"","3128","Get shipment rate","Zella API Services - Users - QA","Fri Jan 16 19:02:45 UTC 2026","passed","Fri Jan 16 19:02:48 UTC 2026","Shipment > Get shipment rate","Orders","",""
"","68","Update Shipping Address  - Invalid ID","Zella API Services - Users - QA","Fri Jan 16 19:02:39 UTC 2026","failed","Fri Jan 16 19:02:39 UTC 2026","Shipping Address > Update Shipping address","Profile","",""
"","52","View design requests","Zella API Services - Users - QA","Fri Jan 16 19:02:41 UTC 2026","passed","Fri Jan 16 19:02:41 UTC 2026","Brands > View requests","Design request","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","66","Signup - Weak password complexity","Zella API Services - Users - QA","Fri Jan 16 19:02:37 UTC 2026","failed","Fri Jan 16 19:02:37 UTC 2026","Fans","Onboarding","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","69","Signup - Invalid Email format","Zella API Services - Users - QA","Fri Jan 16 19:02:36 UTC 2026","passed","Fri Jan 16 19:02:36 UTC 2026","Clients - Vendors and Brands","Onboarding","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","60","Signup - weak password complexity","Zella API Services - Users - QA","Fri Jan 16 19:02:37 UTC 2026","failed","Fri Jan 16 19:02:37 UTC 2026","Creators","Onboarding","",""
"","11","Get Countries","Zella API Services - Users - QA","Fri Jan 16 19:02:49 UTC 2026","broken","Fri Jan 16 19:02:49 UTC 2026","Get Countries","Utilities","",""
"","53","Upgrade to an creator","Zella API Services - Users - QA","Fri Jan 16 19:02:41 UTC 2026","passed","Fri Jan 16 19:02:41 UTC 2026","Fans specific","Profile","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","71","Signup - Empty required field","Zella API Services - Users - QA","Fri Jan 16 19:02:36 UTC 2026","passed","Fri Jan 16 19:02:36 UTC 2026","Clients - Vendors and Brands","Onboarding","",""
"","59","Login - vendors","Zella API Services - Users - QA","Fri Jan 16 19:02:38 UTC 2026","passed","Fri Jan 16 19:02:38 UTC 2026","Local - do not change","Authentication","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","65","Signup - Empty required field","Zella API Services - Users - QA","Fri Jan 16 19:02:36 UTC 2026","failed","Fri Jan 16 19:02:36 UTC 2026","Fans","Onboarding","",""
"","57","Merchant List Comics Series - Category","Zella API Services - Users - QA","Fri Jan 16 19:02:42 UTC 2026","passed","Fri Jan 16 19:02:42 UTC 2026","Chapter/Category","Comics","",""
"","68","Get Shipping Address by ID - Invalid ID","Zella API Services - Users - QA","Fri Jan 16 19:02:39 UTC 2026","passed","Fri Jan 16 19:02:39 UTC 2026","Shipping Address > Get Shipping address by ID","Profile","",""
"","54","Comics record Copy","Zella API Services - Users - QA","Fri Jan 16 19:02:42 UTC 2026","passed","Fri Jan 16 19:02:42 UTC 2026","Comics Record/Read","Comics","",""
"## Refresh Token Endpoint

This endpoint is used to obtain a new access token using a valid refresh token. It is part of the authentication flow, allowing users to maintain their session without needing to log in again.

### Request

- **Method**: POST
    
- **URL**: `{{rootUrl}}/auth/refresh-token`
    
- **Request Body**: The request must include a JSON object with the following key:
    
    - `refresh_token` (string): A valid refresh token that was previously issued to the user. This token is used to authenticate the request and generate a new access token.
        

### Example Request Body

``` json
{
  ""refresh_token"": ""your_refresh_token_here""
}

 ```

### Response

Upon successful processing of the request, the response will contain a JSON object with the new access token and potentially other relevant information. The structure of the response typically includes:

- `access_token` (string): The newly issued access token that the client can use for subsequent authenticated requests.
    
- `expires_in` (integer): The duration in seconds for which the access token is valid.
    

### Example Response

``` json
{
  ""access_token"": ""new_access_token_here"",
  ""expires_in"": 3600
}

 ```

Ensure that the refresh token is valid and has not expired to receive a successful response.","61","Refresh token - Invalid token","Zella API Services - Users - QA","Fri Jan 16 19:02:38 UTC 2026","failed","Fri Jan 16 19:02:38 UTC 2026","Login > Refresh Token","Authentication","",""
"","56","Get Shipping Address by ID - Invalid token","Zella API Services - Users - QA","Fri Jan 16 19:02:39 UTC 2026","passed","Fri Jan 16 19:02:39 UTC 2026","Shipping Address > Get Shipping address by ID","Profile","",""
"","61","Login - empty required field","Zella API Services - Users - QA","Fri Jan 16 19:02:37 UTC 2026","passed","Fri Jan 16 19:02:37 UTC 2026","Login > Login","Authentication","",""
"","90","Add Shipping Address","Zella API Services - Users - QA","Fri Jan 16 19:02:38 UTC 2026","passed","Fri Jan 16 19:02:39 UTC 2026","Shipping Address > Add Shipping Address","Profile","",""
"","53","View single","Zella API Services - Users - QA","Fri Jan 16 19:02:43 UTC 2026","passed","Fri Jan 16 19:02:43 UTC 2026","Creators > Open challenges > View single","Challenges","",""
